Год рождения,Пол,Образование,Семейное положение,Доля сбережений,Инвестиционная цель,Срок инвестирования,Реакция на падение 15%,Реакция на рост 20%,Доля в рискованный проект,Выбор между А и Б,Инвестиционный опыт,Грамотность Q1,Грамотность  Q2,Грамотность Q3,Грамотность Q4,Грамотность Q5,Стадный Q1,Стадный Q2,Стадный Q3,Стадный Q4,Стадный Q5,Стадный Q6,Частота проверки портфеля,Финтех-инструменты,Решения под push-уведомлениями,Автоинвестирование,Импульсивные сделки
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,1-5%,"Сохранения капитала, защита от инфляции (минимальный риск)",1-3 года,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Облигации, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,1,2,3,4,1,Не пользуюсь мобильными приложениями для инвестиций,Не пользовался(ась) ничем из перечисленного,Я отключил(а) push-уведомления / не получаю их,Нет,"Да, иногда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,6-10%,Сбалансированный рост и доходность,1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Облигации, Акции, Производные финансовые инструменты (фьючерсы, опционы…)",Ровно 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации не меняется,Распределение инвестиций между разными активами для снижения риска,3,4,1,4,5,3,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Краудфандинговые платформы","Да, был один-два случая",Нет,"Да, иногда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,11-15%,Максимальная доходность (готов(а) к высоким рискам),более 10 лет,"Докуплю активы, так как они стали дешевле","Доложу еще средств, так как стратегия работает",более 30%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Облигации, Акции, Структурные ноты, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,2,2,1,2,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Нет,"Нет, никогда"
2001-2008,Мужской,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,25%+,"Стабильный, но небольшой рост капитала",1-3 года,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",16-30%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Затрудняюсь ответить,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,3,4,2,4,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Не знаю о такой возможности,"Нет, никогда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,16-25%,"Стабильный, но небольшой рост капитала",1-3 года,"Продам часть, переведу в более надежные инструменты","Оставлю всё как есть, продолжая держать",5-15%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета",Затрудняюсь ответить,"Меньше, чем сегодня",Неверно,Цена облигации обычно растет,Распределение инвестиций между разными активами для снижения риска,3,4,2,4,4,4,Не пользуюсь мобильными приложениями для инвестиций,Не пользовался(ась) ничем из перечисленного,Я отключил(а) push-уведомления / не получаю их,Нет,"Нет, никогда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,6-10%,"Стабильный, но небольшой рост капитала",более 10 лет,"Ничего не буду делать, подожду восстановления","Оставлю всё как есть, продолжая держать",менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Доверительное управление, Облигации, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,2,4,1,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Да, иногда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,25%+,Сбалансированный рост и доходность,1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",0% (это не для меня),Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Облигации, Акции, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,4,3,2,5,4,3,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, иногда (несколько раз в год)",Нет,"Да, иногда"
1982-2000,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,Сбалансированный рост и доходность,3-5 лет,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",менее 5%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Инвестиционные паи, Облигации, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,4,4,2,3,1,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Да, иногда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,16-25%,Сбалансированный рост и доходность,1-3 года,"Докуплю активы, так как они стали дешевле","Оставлю всё как есть, продолжая держать",менее 5%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Облигации, Акции, Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,3,3,4,5,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа, P2P-платформы (кредитование физических лиц)","Да, был один-два случая",Нет,"Да, иногда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,25%+,Сбалансированный рост и доходность,1-3 года,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",5-15%,Затрудняюсь выбрать / мне нужно больше информации,"Драгоценные металлы (золото, серебро), Производные финансовые инструменты (фьючерсы, опционы…)",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Покупка активов только одной компании для лучшего контроля,2,3,5,3,4,1,Раз в день,"Криптовалютная биржа, Робо-эдвайзинг (автоматические рекомендации)","Да, был один-два случая",Нет,"Да, часто"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,16-25%,Максимальная доходность (готов(а) к высоким рискам),более 10 лет,"Докуплю активы, так как они стали дешевле","Доложу еще средств, так как стратегия работает",16-30%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Облигации, Акции, Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Больше 110 000 рублей,Затрудняюсь ответить,Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,3,3,3,4,3,Не пользуюсь мобильными приложениями для инвестиций,Не пользовался(ась) ничем из перечисленного,"Нет, никогда",Нет,"Нет, никогда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,1-5%,Сбалансированный рост и доходность,более 10 лет,"Ничего не буду делать, подожду восстановления","Оставлю всё как есть, продолжая держать",5-15%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Облигации, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,3,4,4,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Не знаю о такой возможности,"Нет, никогда"
2001-2008,Мужской,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,25%+,Максимальная доходность (готов(а) к высоким рискам),более 10 лет,"Докуплю активы, так как они стали дешевле","Доложу еще средств, так как стратегия работает",16-30%,Однозначно вариант Б (максимальная доходность),"Банковские вклады, накопительные счета, Облигации, Акции, Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,1,2,3,3,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Нет, никогда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,25%+,Сбалансированный рост и доходность,1-3 года,"Ничего не буду делать, подожду восстановления",Зафиксирую всю прибыль и переведу деньги в надежные активы,менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Инвестиционные паи, Облигации, Акции",Ровно 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,1,1,1,3,2,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Да, иногда"
2001-2008,Женский,Высшее (не финансово-экономическое),Не замужем/ не женат,1-5%,"Сохранения капитала, защита от инфляции (минимальный риск)",1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",менее 5%,Однозначно вариант А (гарантированный доход),"Банковские вклады, накопительные счета",Больше 110 000 рублей,Столько же,Верно,Цена облигации обычно падает,Покупка активов только одной компании для лучшего контроля,3,3,4,4,3,4,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Да, был один-два случая",Нет,"Да, иногда"
1982-2000,Мужской,Среднее общее/ среднее-профессиональное,Замужем/ женат без детей,25%+,Сбалансированный рост и доходность,1-3 года,"Докуплю активы, так как они стали дешевле","Зафиксирую часть прибыли, остальное оставлю",менее 5%,Затрудняюсь выбрать / мне нужно больше информации,"Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Производные финансовые инструменты (фьючерсы, опционы…), Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,2,4,3,2,5,5,Несколько раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Нет, никогда",Нет,"Да, иногда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,1-5%,Сбалансированный рост и доходность,1-3 года,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",5-15%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Затрудняюсь ответить,Распределение инвестиций между разными активами для снижения риска,3,1,2,4,4,3,Не пользуюсь мобильными приложениями для инвестиций,"Криптовалютная биржа, P2P-платформы (кредитование физических лиц)","Да, был один-два случая",Нет,"Да, иногда"
1982-2000,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,25%+,"Сохранения капитала, защита от инфляции (минимальный риск)",5-10 лет,"Продам часть, переведу в более надежные инструменты","Оставлю всё как есть, продолжая держать",5-15%,Однозначно вариант А (гарантированный доход),"Банковские вклады, накопительные счета, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно растет,Распределение инвестиций между разными активами для снижения риска,3,2,4,3,4,3,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Да, иногда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Замужем/ женат без детей,1-5%,"Сохранения капитала, защита от инфляции (минимальный риск)",1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",5-15%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета",Больше 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,1,3,3,1,Не пользуюсь мобильными приложениями для инвестиций,Не пользовался(ась) ничем из перечисленного,"Нет, никогда",Не знаю о такой возможности,"Нет, никогда"
2001-2008,Мужской,Высшее (не финансово-экономическое),Не замужем/ не женат,6-10%,"Стабильный, но небольшой рост капитала",1-3 года,"Докуплю активы, так как они стали дешевле","Оставлю всё как есть, продолжая держать",менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Облигации, Акции, Криптовалюта",Больше 110 000 рублей,"Меньше, чем сегодня",Затрудняюсь ответить,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,2,3,4,5,4,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.), Криптовалютная биржа","Да, был один-два случая",Нет,"Да, иногда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,25%+,"Сохранения капитала, защита от инфляции (минимальный риск)",1-3 года,"Продам часть, переведу в более надежные инструменты","Зафиксирую часть прибыли, остальное оставлю",5-15%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета",Ровно 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,1,1,1,1,1,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Нет, никогда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,25%+,Активный рост капитала (готов(а) к колебаниям),более 10 лет,"Докуплю активы, так как они стали дешевле","Оставлю всё как есть, продолжая держать",16-30%,"Скорее вариант Б, понимая риски","Банковские вклады, накопительные счета, Облигации, Акции, Криптовалюта, Форекс",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,5,5,5,3,2,1,Раз в день,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Нет, никогда"
2001-2008,Мужской,Среднее общее/ среднее-профессиональное,Не замужем/ не женат,25%+,"Стабильный, но небольшой рост капитала",1-3 года,"Продам часть, переведу в более надежные инструменты",Зафиксирую всю прибыль и переведу деньги в надежные активы,менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Драгоценные металлы (золото, серебро), Накопительное/инвестиционное страхование жизни, Инвестиционные паи, Облигации, Акции",Больше 110 000 рублей,"Меньше, чем сегодня",Верно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,1,1,1,1,2,1,Несколько раз в неделю,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)","Нет, никогда",Нет,"Нет, никогда"
2001-2008,Женский,Высшее финансово-экономическое или иное дополнительное образование в области инвестирования,Не замужем/ не женат,1-5%,"Стабильный, но небольшой рост капитала",1-3 года,"Ничего не буду делать, подожду восстановления","Зафиксирую часть прибыли, остальное оставлю",менее 5%,"Скорее вариант А, но вариант Б тоже рассматривал(а) бы","Банковские вклады, накопительные счета, Доверительное управление",Больше 110 000 рублей,"Меньше, чем сегодня",Неверно,Цена облигации обычно падает,Распределение инвестиций между разными активами для снижения риска,3,1,1,1,4,1,Раз в неделю или реже,"Мобильное приложение брокера (Тинькофф Инвестиции, СберИнвестиции, ВТБ Мои Инвестиции и др.)",Я отключил(а) push-уведомления / не получаю их,Нет,"Нет, никогда"
